CHEMBL1086997,CCCCN1C[C@H](O)[C@@H](O)[C@@H](O)[C@H]1CO,1.24
CHEMBL1087126,COc1ccc(-c2coc3cc(O)ccc3c2=O)c(OC)c1,0.72
CHEMBL1087180,CC(CC(=O)C[C@@H](C)[C@H]1CC(=O)[C@@]2(C)C3=C(C(=O)C[C@]12C)[C@@]1(C)CC[C@H](O)C(C)(C)[C@@H]1C[C@@H]3O)C(=O)O,3.21
CHEMBL1087512,CC1(C)C(=O)CC[C@]2(C)[C@@]3(C)c4[nH]c5ccccc5c4C[C@@H]3CC[C@@]12O,2.22
CHEMBL1087720,COc1ccc(-c2cc(=O)c3c(OC)cc(OC)cc3o2)cc1,0.63
CHEMBL1088849,CS[C@]1(CO)C(=O)N2c3c(O)cccc3C[C@@]2(SC)C(=O)N1C,1.8
CHEMBL1088892,CCCC[C@H]1N[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,1.99
CHEMBL1088977,C[S+](CC[C@H](N)C(=O)[O-])C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,0.91
CHEMBL1089054,O=c1c(-c2ccc(O)c(O)c2)coc2ccccc12,0.83
CHEMBL1089316,CN1C(=O)[C@@]23C[C@]4([C@]56C[C@@]78SS[C@@](CO)(C(=O)N7[C@H]5Nc5ccccc56)N(C)C8=O)c5ccccc5N[C@@H]4N2C(=O)[C@]1(CO)SS3,1.24
CHEMBL1089515,N[C@@H](CCP(=O)(O)CCC(=O)O)C(=O)O,0.97
CHEMBL1089559,O=S(=O)([O-])O[C@@H]([C@H](O)[C@H](O)[C@H](O)CO)[C@H](O)C[S+]1C[C@@H](O)[C@H](O)[C@H]1CO,2
CHEMBL1089731,C[C@@]1(CO)C[C@@H](O)C[C@@]2(C)[C@@H]3CC[C@](C)([C@@H](O)CO)C=C3CC[C@H]12,3.55
CHEMBL1090,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O,1.31
CHEMBL109037,NC(Cc1cc(O)c(O)cc1O)C(=O)O,1.42
CHEMBL1091,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,2.17
CHEMBL1092578,C[C@]12CCC(=O)C=C1CCC1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,2.41
CHEMBL1092797,Cc1c(O)c(O)cc2c1CC=C1[C@@]2(C)CC[C@@]2(C)[C@@H]3C[C@](C)(C(=O)O)CC[C@]3(C)CC[C@]12C,2.93
CHEMBL1093264,O=S(=O)([O-])O[C@@H]([C@H](O)[C@H](O)[C@@H](O)CO)[C@H](O)C[S+]1C[C@@H](O)[C@H](O)[C@H]1CO,2
CHEMBL1093524,O=S(=O)([O-])O[C@@H]([C@H](O)[C@@H](O)[C@@H](O)CO)[C@H](O)C[S+]1C[C@@H](O)[C@H](O)[C@H]1CO,2
CHEMBL1093525,O=S(=O)([O-])O[C@@H]([C@H](O)[C@@H](O)[C@H](O)CO)[C@H](O)C[S+]1C[C@@H](O)[C@H](O)[C@H]1CO,2
CHEMBL1093625,C=C1CCC(Br)C(C)(C)[C@H]1Cc1cc(OC)c(Br)cc1O,1.96
CHEMBL1094756,C=C(C)[C@H]1Cc2c(oc3c(CC=C(C)C)c(O)c(CC=C(C)C)c(O)c3c2=O)-c2c(O)cc(O)c(O)c21,2.28
CHEMBL1095097,COC(=O)[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@@]23O[C@@H]2C[C@@]2(C)[C@@H](CC[C@@]24CCC(=O)O4)[C@H]13,2.3
CHEMBL1095671,CCCCCCC[C@H](O)CC(=O)CCc1ccc(O)c(OC)c1,1.39
CHEMBL1096481,COc1ccc2c(c1O)[C@@]13CCN(C)[C@@]14C[C@@H]2O[C@]4(OC)[C@@H](OC)[C@@H](O)C3,2.94
CHEMBL1096882,Nc1nc(F)nc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@@H]1O,1.09
CHEMBL1096885,CCCCC(=O)OCC(=O)[C@]1(O)Cc2c(O)c3c(c(O)c2[C@@H](O[C@H]2C[C@H](NC(=O)C(F)(F)F)[C@H](O)[C@H](C)O2)C1)C(=O)c1c(OC)cccc1C3=O,1.11
CHEMBL1096927,CC(C)=CCC[C@](C)(O)[C@@H]1CC=C(C)CC1,2.81
CHEMBL1097371,CC1=CC[C@@H]2[C@H]1[C@H]1OC(=O)[C@@H](C)[C@@H]1CC[C@]2(C)O,3.32
CHEMBL1097764,C=C1C(=O)O[C@H]2[C@H]1CCC(C)=C1C[C@H]3O[C@@]3(C)[C@@H]12,3.78
CHEMBL1097805,COc1ccc2c(c1O)[C@@]13CCN(C)[C@@]14C[C@@H]2O[C@]4(O)[C@@H](OC)[C@@H](O)C3,2.92
CHEMBL1097908,Oc1cc(O)cc([C@@H]2c3cc([C@@H]4Oc5cc(-c6cc7ccc(O)cc7o6)cc(O)c5[C@H]4c4cc(O)cc(O)c4)c(O)cc3O[C@H]2c2ccc(O)cc2O)c1,1.23
CHEMBL1098359,COC1=C(OC)[C@]23CCc4ccc(OC)c(O)c4[C@]2(CCN3C)CC1=O,2.37
CHEMBL1098427,C[C@H]1C[C@@]2(O[C@H]3C[C@H]4[C@@H]5CC[C@H]6C[C@H](O)CC[C@]6(C)[C@H]5[C@@H](O)C[C@]4(C)[C@H]3[C@@]2(C)O)OC1(C)C,3.19
CHEMBL1098561,CC(=O)Oc1c(-c2ccc(O)c(O)c2)c(O)c(O)c2c1oc1cc(O)c(O)cc12,1.45
CHEMBL109863,C[C@]12CC[C@H](O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](C3=CC(=O)OC3)CC[C@]12O,3.17
CHEMBL1098724,O=c1c(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,2.16
CHEMBL1099162,C=C(C)[C@H]1Cc2c(oc3c4c(cc(O)c3c2=O)OC(C)(C)C=C4)-c2c(O)cc(O)c(O)c21,2.92
CHEMBL110458,OC[C@H]1NC[C@H](O)[C@@H](O)[C@H]1O,2.44
CHEMBL110691,CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C=C(Cl)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,1.75
CHEMBL110739,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2C(=O)CO,2.6
